net,length_um
wave_controller_x_inst/net678,140.76µm
wave_controller_y_inst/_1243_,140.66µm
spi_regs_inst/net427,140.61µm
wave_controller_y_inst/net184,140.56µm
cfg_phase0_offset_y\[6\],140.15µm
wave_controller_x_inst/net241,140.15µm
wave_controller_y_inst/_1009_,140.05µm
spi_regs_inst/_0317_,140µm
wave_controller_x_inst/net704,140µm
spi_regs_inst/net1058,140µm
clknet_leaf_23_clk_regs,139.64µm
clknet_leaf_40_clk_regs,139.64µm
net722,139.54µm
spi_regs_inst/net1033,139.54µm
wave_controller_y_inst/_1207_,139.49µm
wave_controller_x_inst/net926,139.49µm
wave_controller_y_inst/_0947_,139.16µm
spi_regs_inst/_0226_,139.08µm
spi_regs_inst/_0419_,139.03µm
wave_controller_y_inst/phase_acc\[8\],138.98µm
spi_regs_inst/_0493_,138.88µm
clknet_leaf_26_clk_regs,138.57µm
wave_controller_x_inst/_0418_,138.47µm
net964,138.42µm
cal_phase0_offset_x\[17\],138.37µm
cal_phase90_offset_y\[18\],138.37µm
wave_controller_x_inst/net109,138.37µm
spi_regs_inst/net1060,138.37µm
wave_controller_x_inst/net112,138.32µm
spi_regs_inst/net389,138.32µm
spi_regs_inst/_0211_,137.91µm
wave_controller_y_inst/_1233_,137.91µm
spi_regs_inst/net371,137.86µm
spi_regs_inst/net387,137.86µm
