net,length_um
delay_wave_cycle_x[5],54.18µm
raw_edge2_y[15],54.18µm
raw_edge2_y[9],54.18µm
raw_edge3_y[16],54.18µm
cfg_phase90_offset_y[7],54.18µm
net218,53.81µm
net235,53.81µm
net843,53.81µm
net37,53.76µm
net282,53.76µm
cfg_f_MEMS_fcw_y[6],53.62µm
cfg_phase90_offset_y[10],53.62µm
_0652_,53.3µm
raw_edge2_y[10],53.06µm
net136,52.69µm
cfg_phase0_offset_x[0],52.6µm
cfg_f_MEMS_fcw_y[10],52.55µm
cfg_phase0_offset_x[2],52.55µm
cfg_phase0_offset_x[8],52.5µm
cfg_phase0_offset_y[19],52.5µm
net28,52.18µm
net789,52.18µm
net205,52.13µm
_0727_,52.08µm
net194,52.08µm
cfg_phase0_offset_x[4],51.99µm
cfg_f_MEMS_fcw_y[12],51.94µm
cfg_f_MEMS_fcw_y[15],51.94µm
_0572_,51.72µm
_0467_,51.62µm
net159,51.62µm
_0350_,51.57µm
_0640_,51.57µm
_0663_,51.57µm
net624,51.57µm
net731,51.57µm
_0684_,51.52µm
net703,51.52µm
cal_phase0_offset_y[3],51.48µm
cfg_phase0_offset_x[11],51.43µm
raw_edge3_y[13],51.38µm
cfg_f_MEMS_fcw_y[4],51.38µm
net401,51.21µm
_0310_,51.01µm
_0730_,51.01µm
_0628_,50.96µm
cal_phase0_offset_y[1],50.82µm
delay_wave_cycle_x[2],50.82µm
cfg_f_MEMS_fcw_x[9],50.82µm
net97,50.45µm
_0378_,50.4µm
cfg_phase270_offset_x[7],50.31µm
cfg_f_MEMS_fcw_y[8],50.26µm
cfg_phase0_offset_x[6],50.26µm
cfg_phase0_offset_y[4],50.26µm
net812,49.94µm
_0243_,49.89µm
rx_shift\[5\],49.89µm
net756,49.89µm
net393,49.84µm
raw_edge1_x[6],49.7µm
raw_edge3_y[19],49.7µm
cfg_f_MEMS_fcw_y[14],49.7µm
net474,49.43µm
net488,49.43µm
net638,49.38µm
net802,49.38µm
net617,49.33µm
cfg_f_MEMS_fcw_y[0],49.19µm
cfg_phase0_offset_x[5],49.19µm
cal_phase0_offset_y[11],49.14µm
delay_wave_cycle_x[7],49.14µm
net629,48.97µm
_0714_,48.82µm
net615,48.82µm
net386,48.77µm
net185,48.77µm
net827,48.77µm
net876,48.77µm
raw_edge3_y[11],48.68µm
raw_edge2_y[6],48.58µm
cfg_phase270_offset_y[2],48.58µm
net409,48.36µm
net60,48.26µm
net853,48.21µm
net29,48.16µm
cfg_phase270_offset_y[8],48.07µm
cfg_f_MEMS_fcw_x[12],48.02µm
cfg_f_MEMS_fcw_x[2],48.02µm
cfg_f_MEMS_fcw_y[11],48.02µm
cfg_phase90_offset_y[19],48.02µm
net785,47.8µm
rx_shift\[6\],47.7µm
net872,47.7µm
_0330_,47.65µm
net55,47.65µm
net825,47.65µm
_0312_,47.6µm
_0397_,47.6µm
net132,47.6µm
raw_edge1_x[0],47.51µm
cal_phase0_offset_y[0],47.46µm
raw_edge3_y[15],47.46µm
net839,47.14µm
_0721_,47.09µm
net666,47.09µm
cfg_phase90_offset_x[11],46.95µm
delay_wave_cycle_x[3],46.9µm
cfg_f_MEMS_fcw_x[10],46.9µm
cfg_phase0_offset_x[15],46.9µm
_0557_,46.58µm
net200,46.58µm
net829,46.53µm
_0307_,46.48µm
cal_phase0_offset_y[4],46.39µm
cfg_phase270_offset_y[11],46.39µm
cal_phase90_offset_y[14],46.34µm
cfg_phase0_offset_x[12],46.34µm
net503,46.02µm
_0648_,45.97µm
net692,45.97µm
net796,45.97µm
_0664_,45.92µm
_0716_,45.92µm
cal_phase0_offset_y[12],45.78µm
cfg_f_MEMS_fcw_x[11],45.78µm
cfg_f_MEMS_fcw_y[5],45.78µm
net786,45.46µm
_0274_,45.41µm
net857,45.41µm
net139,45.36µm
net164,45.36µm
net196,45.36µm
raw_edge2_y[11],45.27µm
raw_edge1_x[7],45.22µm
raw_edge3_y[12],45.22µm
raw_edge3_y[8],45.22µm
cfg_f_MEMS_fcw_x[7],45.22µm
net48,44.95µm
net532,44.95µm
net809,44.9µm
_0484_,44.85µm
net174,44.85µm
net631,44.8µm
raw_edge3_y[20],44.66µm
net510,44.39µm
_0504_,44.34µm
_0565_,44.34µm
_0231_,44.29µm
net708,44.29µm
net819,44.29µm
net6,44.24µm
raw_edge3_y[18],44.1µm
cfg_f_MEMS_fcw_x[15],44.1µm
cfg_f_MEMS_fcw_x[5],44.1µm
cfg_f_MEMS_fcw_y[2],44.1µm
cfg_phase90_offset_x[18],44.1µm
net815,43.78µm
net831,43.78µm
net183,43.73µm
_0355_,43.68µm
net267,43.68µm
cal_phase0_offset_y[6],43.64µm
cal_phase0_offset_x[14],43.59µm
cfg_phase270_offset_y[6],43.59µm
raw_edge3_y[17],43.54µm
cfg_f_MEMS_fcw_x[8],43.54µm
cfg_phase0_offset_x[10],43.54µm
cfg_phase0_offset_x[13],43.54µm
cfg_phase0_offset_x[1],43.54µm
cfg_phase0_offset_x[20],43.54µm
net236,43.22µm
spi_state,43.22µm
net842,43.17µm
_0331_,43.12µm
reg_wr_addr\[4\],43.12µm
cfg_phase270_offset_y[10],43.03µm
cal_phase0_offset_y[13],42.98µm
cfg_f_MEMS_fcw_x[13],42.98µm
net871,42.71µm
_0450_,42.66µm
net178,42.61µm
net656,42.61µm
cal_phase90_offset_y[8],42.42µm
raw_edge1_x[12],42.42µm
raw_edge3_y[6],42.42µm
